CODE,DURATION,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
CAe27,240.0,13,227,,,,10 min Z1 10 min Z2 3 x (4 min Z2/1 min Z1) 205 min Z2
CAe28,260.0,13,247,,,,10 min Z1 10 min Z2 3 x (5 min Z2/1 min Z1) 222 min Z2
CAe29,280.0,13,267,,,,10 min Z1 10 min Z2 3 x (6 min Z2/1 min Z1) 239 min Z2
CAe3,110.0,50,60,,,,15 min Z1 4 x (15 min Z2/5 min Z1) 15 min Z1
CAe30,300.0,13,287,,,,10 min Z1 10 min Z2 3 x (7 min Z2/1 min Z1) 256 min Z2
CAe31,320.0,13,307,,,,10 min Z1 10 min Z2 3 x (8 min Z2/1 min Z1) 273 min Z2
CAe32,340.0,13,327,,,,10 min Z1 10 min Z2 3 x (9 min Z2/1 min Z1) 290 min Z2
CAe33,360.0,13,347,,,,10 min Z1 10 min Z2 3 x (10 min Z2/1 min Z1) 307 min Z2
CAe34,330.0,180,150,,,,10 min Z1 5 x (30 min Z2/10 min Z1) 120 min Z1
CAe35,210.0,90,120,,,,10 min Z1 4 x (30 min Z2/10 min Z1) 40 min Z1
CAe36,150.0,70,80,,,,30 min Z1 4 x (20 min Z2/10 min Z1)
CAe37,165.0,85,80,,,,30 min Z1 4 x (20 min Z2/10 min Z1) 15 min Z1
CAe4,121.0,61,60,,,,20 min Z1 3 x (20 min Z2/7 min Z1) 20 min Z1
CAe5,120.0,45,75,,,,10 min Z1 5 x (15 min Z2/5 min Z1) 10 min Z1
CAe6,128.0,48,80,,,,10 min Z1 4 x (20 min Z2/7 min Z1) 10 min Z1
CAe7,150.0,50,100,,,,12 min Z1 4 x (25 min Z2/7 min Z1) 10 min Z1
CAe8,180.0,60,120,,,,10 min Z1 4 × (30 min Z2/10 min Z1) 10 min Z1
CAe9,180.0,55,125,,,,10 min Z1 5 × (25 min Z2/7 min Z1) 10 min Z1
