CODE,DURATION,Z1,Z2,Z3,Z4,Z5,DESCRIPTION
RRe3,30.0,30.0,,,,,"30 min Z1
"
RRe4,35.0,35.0,,,,,"35 min Z1
"
RRe5,40.0,40.0,,,,,"40 min Z1
"
RRe6,45.0,45.0,,,,,"45 min Z1
"
RRe7,50.0,50.0,,,,,"50 min Z1
"
RRe8,55.0,55.0,,,,,"55 min Z1
"
RRe9,60.0,60.0,,,,,"60 min Z1
"
RSI1,33.0,10.0,5,,,18,"5 min Z1
5 min Z2
6 × (1 min Z5/2 min Z1)
5 min Z1
"
RSI2,39.0,10.0,5,,,24,"5 min Z1
5 min Z2
8 × (1 min Z5/2 min Z1)
5 min Z1
"
RSI3,39.0,10.0,5,,,24,"5 min Z1
5 min Z2
6 × (1.5 min Z5/2.5 min Z1)
5 min Z1
"
RSI4,45.0,10.0,5,,,30,"5 min Z1
5 min Z2
10 × (1 min Z5/2 min Z1)
5 min Z1
"
RSP1,45.0,5.0,28,,12.0,,"5 min Z1
28 min Z2
4 × (1 min Z4/2 min Z1)
"
RSP10,42.0,10.0,5,,27.0,,"5 min Z1
5 min Z2
9 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP11,43.0,10.0,5,,28.0,,"5 min Z1
5 min Z2
7 × (2 min Z4/2 min Z1)
5 min Z1
"
RSP12,45.0,10.0,5,,30.0,,"5 min Z1
5 min Z2
10 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP13,47.0,10.0,5,,32.0,,"5 min Z1
5 min Z2
8 × (2 min Z4/2 min Z1)
5 min Z1
"
RSP14,51.0,10.0,5,,36.0,,"5 min Z1
5 min Z2
9 × (2 min Z4/2 min Z1)
5 min Z1
"
RSP15,51.0,10.0,5,,36.0,,"5 min Z1
5 min Z2
12 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP16,51.0,10.0,20,,21.0,,"5 min Z1
20 min Z2
7 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP17,60.0,10.0,20,,30.0,,"5 min Z1
20 min Z2
10 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP18,48.0,10.0,10,,28.0,,"5 min Z1
5 min Z2
7 × (2 min Z4/2 min Z1)
5 min Z2
5 min Z1
"
RSP19,49.0,10.0,15,,24.0,,"5 min Z1
15 min Z2
8 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP2,30.0,13.0,5,,12.0,,"5 min Z1
5 min Z2
3 × (2 min Z4/2 min Z1)
8 min Z1
"
RSP20,55.0,10.0,25,,20.0,,"5 min Z1
15 min Z2
5 × (2 min Z4/2 min Z1)
10 min Z2
5 min Z1
"
RSP21,45.0,10.0,15,,20.0,,"5 min Z1
10 min Z2
5 × (2 min Z4/2 min Z1)
10 min Z2
5 min Z1
"
RSP3,30.0,10.0,5,,15.0,,"5 min Z1
5 min Z2
5 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP4,31.0,10.0,5,,16.0,,"5 min Z1
5 min Z2
4 × (2 min Z4/2 min Z1)
5 min Z1
"
RSP5,33.0,10.0,5,,18.0,,"5 min Z1
5 min Z2
6 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP6,35.0,10.0,5,,20.0,,"5 min Z1
5 min Z2
5 × (2 min Z4/2 min Z1)
5 min Z1
"
RSP7,36.0,10.0,5,,21.0,,"5 min Z1
5 min Z2
7 × (1 min Z4/2 min Z1)
5 min Z1
"
RSP8,39.0,10.0,5,,24.0,,"5 min Z1
5 min Z2
6 × (2 min Z4/2 min Z1)
5 min Z1
"
RSP9,39.0,10.0,5,,24.0,,"5 min Z1
5 min Z2
8 × (1 min Z4/2 min Z1)
5 min Z1
"
RT1,35.0,10.0,10,15,,,"5 min Z1
5 min Z2
15 min Z3
5 min Z2
5 min Z1
"
RT10,65.0,10.0,10,45,,,"5 min Z1
5 min Z2
45 min Z3
5 min Z2
5 min Z1
"
RT11,50.0,10.0,30,10,,,"5 min Z1
15 min Z2
10 min Z3
15 min Z2
5 min Z1
"
RT12,55.0,10.0,35,10,,,"5 min Z1
15 min Z2
10 min Z3
20 min Z2
5 min Z1
"
RT13,50.0,10.0,20,20,,,"5 min Z1
10 min Z2
20 min Z3
10 min Z2
5 min Z1
"
RT14,54.0,10.0,20,24,,,"5 min Z1
10 min Z2
24 min Z3
10 min Z2
5 min Z1
"
RT15,62.0,10.0,20,32,,,"5 min Z1
10 min Z2
32 min Z3
10 min Z2
5 min Z1
"
RT16,60.0,20.0,20,20,,,"10 min Z1
10 min Z2
20 min Z3
10 min Z2
10 min Z1
"
RT17,76.0,20.0,20,36,,,"10 min Z1
10 min Z2
36 min Z3
10 min Z2
10 min Z1
"
RT18,70.0,10.0,20,40,,,"5 min Z1
10 min Z2
40 min Z3
10 min Z2
5 min Z1
"
RT19,90.0,10.0,60,20,,,"5 min Z1
10 min Z2
20 min Z3
50 min Z2
5 min Z1
"
RT2,38.0,10.0,10,18,,,"5 min Z1
5 min Z2
18 min Z3
5 min Z2
5 min Z1
"
RT20,90.0,55.0,10,25,,,"5 min Z1
10 min Z2
25 min Z3
50 min Z1
"
RT3,40.0,10.0,10,20,,,"5 min Z1
5 min Z2
20 min Z3
5 min Z2
5 min Z1
"
RT4,44.0,10.0,10,24,,,"5 min Z1
5 min Z2
24 min Z3
5 min Z2
5 min Z1
"
RT5,48.0,10.0,10,28,,,"5 min Z1
5 min Z2
28 min Z3
5 min Z2
5 min Z1
"
RT6,50.0,10.0,10,30,,,"5 min Z1
5 min Z2
30 min Z3
5 min Z2
5 min Z1
"
RT7,52.0,10.0,10,32,,,"5 min Z1
5 min Z2
32 min Z3
5 min Z2
5 min Z1
"
RT8,56.0,10.0,10,36,,,"5 min Z1
5 min Z2
36 min Z3
5 min Z2
5 min Z1
"
RT9,60.0,10.0,10,40,,,"5 min Z1
5 min Z2
40 min Z3
5 min Z2
5 min Z1
"
RTa1,10.0,5.0,,,6.0,,"5 min Z1
6 × (20"" Z4/40"" rest)
"
